region,country,pop_100k,life_expectancy_years,health_expenditure_usd
Europe and Central Asia,Ukraine,449.82568,71.1895141601563,
Middle East and North Africa,United Arab Emirates,89.16909,77.2850036621094,
Europe and Central Asia,United Kingdom,652.24368,80.9561004638672,3755.9433
North America,United States,3246.07776,78.6902465820313,8714.8975
Latin America and Caribbean,United States Virgin Islands,1.02808,79.0170745849609,
Latin America and Caribbean,Uruguay,34.0282,77.3690032958984,
Europe and Central Asia,Uzbekistan,309.49416,70.9280014038086,
East Asia and Pacific,Vanuatu,2.7645,69.8690032958984,
Latin America and Caribbean,Venezuela,305.29722,72.5839996337891,
East Asia and Pacific,Vietnam,921.914,75.1100006103516,
Middle East and North Africa,Yemen,285.16552,66.0849990844727,
Sub-Saharan Africa,Zambia,162.48231,61.7369995117188,
Sub-Saharan Africa,Zimbabwe,141.54937,59.5340003967285,
